Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
62,r+g+a,great,FALSE,,,rga,0,,,,r,,g,,,a,,,,g,r,e,,r,g,a,,,,,,+,,,,,,Keep,great
63,u+i+e+d+t+n,united,FALSE,,,uiedtn,0,,u,i,e,,,d,,t,n,,,u,n,i,,u,i,e,d,t,n,,,+,,,,,,Keep,united
64,o+e+h+t+l,hotel,FALSE,,,oehtl,0,,,o,e,,,h,,t,l,,,h,o,t,,o,e,h,t,l,,,,+,,,,,,Keep,hotel
65,i+r+t+n,international,FALSE,,,irtn,0,,,i,r,,,,,t,n,,,i,n,t,,i,r,t,n,,,,,+,,,,,,Keep,international
66,e+c+t+n,center,FALSE,,,ectn,0,,,,e,c,,,,t,n,,,c,e,n,,e,c,t,n,,,,,+,,,,,,Keep,center
67,o+r+t+s,store,FALSE,,,orts,0,,,o,r,,,,,t,,s,,s,t,o,,o,r,t,s,,,,,+,,,,,,Keep,store
68,r+v+t+l,travel,FALSE,,,rvtl,0,,,,r,v,,,,t,l,,,t,r,a,,r,v,t,l,,,,,+,,,,,,Keep,travel
69,o+e+c+t+n+s,comments,FALSE,,,oectns,0,,,o,e,c,,,,t,n,s,,c,o,m,,o,e,c,t,n,s,,,+,,,,,,Keep,comments
70,o+e+v+d+t+l,development,FALSE,,,oevdtl,0,,,o,e,v,,d,,t,l,,,d,e,v,,o,e,v,d,t,l,,,+,,,,,,Keep,development
71,o+r+p+t,report,FALSE,,,orpt,0,,,o,r,,,p,,t,,,,r,e,p,,o,r,p,t,,,,,+,,,,,,Keep,report
72,e+m+b,member,FALSE,,,emb,0,,,,e,m,,,b,,,,,m,e,m,,e,m,b,,,,,,+,,,,,,Keep,member
75,o+e+f+b,before,FALSE,,,oefb,0,,,o,e,,,f,b,,,,,b,e,f,,o,e,f,b,,,,,+,,,,,,Keep,before
77,i+r+g+h+t,right,FALSE,,,irght,0,,,i,r,,g,h,,t,,,,r,i,g,,i,r,g,h,t,,,,+,,,,,,Keep,right
78,u+e+c+b+a+s,because,FALSE,,,uecbas,0,,u,,e,c,,,b,a,,s,,b,e,c,,u,e,c,b,a,s,,,+,,,,,,Keep,because
79,o+c+a+l,local,FALSE,,,ocal,0,,,o,,c,,,,a,l,,,l,o,c,,o,c,a,l,,,,,+,,,,,,Keep,local
80,o+e+h+t+s,those,FALSE,,,oehts,0,,,o,e,,,h,,t,,s,,t,h,o,,o,e,h,t,s,,,,+,,,,,,Keep,those
81,u+i+g+n+s,using,FALSE,,,uigns,0,,u,i,,,g,,,,n,s,,u,s,i,,u,i,g,n,s,,,,+,,,,,,Keep,using
82,u+r+t+l+s,results,FALSE,,,urtls,0,,u,,r,,,,,t,l,s,,r,e,s,,u,r,t,l,s,,,,+,,,,,,Keep,results
83,o+e+c+f,office,FALSE,,,oecf,0,,,o,e,c,,f,,,,,,o,f,f,,o,e,c,f,,,,,+,,,,,,Keep,office
84,u+i+e+c+d+a+n,education,FALSE,,,uiecdan,0,,u,i,e,c,,d,,a,n,,,e,d,u,,u,i,e,c,d,a,n,,+,,,,,,Keep,education
85,i+a+n,national,FALSE,,,ian,0,,,i,,,,,,a,n,,,n,a,t,,i,a,n,,,,,,+,,,,,,Keep,national
86,i+e+g+d+n+s,design,FALSE,,,iegdns,0,,,i,e,,g,d,,,n,s,,d,e,s,,i,e,g,d,n,s,,,+,,,,,,Keep,design
87,o+e+p+t+s,posted,FALSE,,,oepts,0,,,o,e,,,p,,t,,s,,p,o,s,,o,e,p,t,s,,,,+,,,,,,Keep,posted
88,i+r+t+n,internet,FALSE,,,irtn,1,,,i,r,,,,,t,n,,,i,n,t,,i,r,t,n,,,,,+,,,,,,Keep,internet
89,r+d+a+s,address,FALSE,,,rdas,0,,,,r,,,d,,a,,s,,a,d,d,,r,d,a,s,,,,,+,,,,,,Keep,address
90,u+o+c+t+n+y,community,FALSE,,,uoctny,0,,u,o,,c,,,,t,n,y,,c,o,m,,u,o,c,t,n,y,,,+,,,,,,Keep,community
91,i+w+h+t+n,within,FALSE,,,iwhtn,0,,,i,,,w,h,,t,n,,,w,i,t,,i,w,h,t,n,,,,+,,,,,,Keep,within
93,o+e+p+n,phone,FALSE,,,oepn,0,,,o,e,,,p,,,n,,,p,h,o,,o,e,p,n,,,,,+,,,,,,Keep,phone
94,i+g+h+n+s,shipping,FALSE,,,ighns,0,,,i,,,g,h,,,n,s,,s,h,i,,i,g,h,n,s,,,,+,,,,,,Keep,shipping
95,r+v+d+s,reserved,FALSE,,,rvds,0,,,,r,v,,d,,,,s,,r,e,s,,r,v,d,s,,,,,+,,,,,,Keep,reserved
96,u+e+c+b+t+j+s,subject,FALSE,,,uecbtjs,0,,u,,e,c,,,b,t,j,s,,s,u,b,,u,e,c,b,t,j,s,,+,,,,,,Keep,subject
97,e+w+b+t+n,between,FALSE,,,ewbtn,0,,,,e,,w,,b,t,n,,,b,e,t,,e,w,b,t,n,,,,+,,,,,,Keep,between
98,u+o+r+m+f,forum,FALSE,,,uormf,0,,u,o,r,m,,f,,,,,,f,o,r,,u,o,r,m,f,,,,+,,,,,,Keep,forum
99,i+m+f+a+l+y,family,FALSE,,,imfaly,0,,,i,,m,,f,,a,l,y,,f,a,m,,i,m,f,a,l,y,,,+,,,,,,Keep,family
100,e+d+b+a+s,based,FALSE,,,edbas,0,,,,e,,,d,b,a,,s,,b,a,s,,e,d,b,a,s,,,,+,,,,,,Keep,based
101,k+b+a+l,black,FALSE,,,kbal,0,,,,,k,,,b,a,l,,,b,l,a,,k,b,a,l,,,,,+,,,,,,Keep,black
