Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
95,,reserved,FALSE,,,,84,,,,,,,,,,,,,r,e,s,,,,,,,,,,+,,,,,,Keep,reserved
96,,subject,FALSE,,,,85,,,,,,,,,,,,,s,u,b,,,,,,,,,,+,,,,,,Keep,subject
97,,between,FALSE,,,,86,,,,,,,,,,,,,b,e,t,,,,,,,,,,+,,,,,,Keep,between
98,,forum,FALSE,,,,87,,,,,,,,,,,,,f,o,r,,,,,,,,,,+,,,,,,Keep,forum
99,,family,FALSE,,,,88,,,,,,,,,,,,,f,a,m,,,,,,,,,,+,,,,,,Keep,family
100,,based,FALSE,,,,89,,,,,,,,,,,,,b,a,s,,,,,,,,,,+,,,,,,Keep,based
101,,black,FALSE,,,,90,,,,,,,,,,,,,b,l,a,,,,,,,,,,+,,,,,,Keep,black
102,,check,FALSE,,,,91,,,,,,,,,,,,,c,h,e,,,,,,,,,,+,,,,,,Keep,check
103,,special,FALSE,,,,92,,,,,,,,,,,,,s,p,e,,,,,,,,,,+,,,,,,Keep,special
104,,prices,FALSE,,,,93,,,,,,,,,,,,,p,r,i,,,,,,,,,,+,,,,,,Keep,prices
105,,website,FALSE,,,,94,,,,,,,,,,,,,w,e,b,,,,,,,,,,+,,,,,,Keep,website
106,,index,FALSE,,,,95,,,,,,,,,,,,,i,n,d,,,,,,,,,,+,,,,,,Keep,index
107,,being,FALSE,,,,96,,,,,,,,,,,,,b,e,i,,,,,,,,,,+,,,,,,Keep,being
108,,women,FALSE,,,,97,,,,,,,,,,,,,w,o,m,,,,,,,,,,+,,,,,,Keep,women
109,,today,FALSE,,,,98,,,,,,,,,,,,,t,o,d,,,,,,,,,,+,,,,,,Keep,today
110,,technology,FALSE,,,,99,,,,,,,,,,,,,t,e,c,,,,,,,,,,+,,,,,,Keep,technology
111,,south,FALSE,,,,100,,,,,,,,,,,,,s,o,u,,,,,,,,,,+,,,,,,Keep,south
112,,project,FALSE,,,,101,,,,,,,,,,,,,p,r,o,,,,,,,,,,+,,,,,,Keep,project
113,,pages,FALSE,,,,102,,,,,,,,,,,,,p,a,g,,,,,,,,,,+,,,,,,Keep,pages
114,,version,FALSE,,,,103,,,,,,,,,,,,,v,e,r,,,,,,,,,,+,,,,,,Keep,version
115,,section,FALSE,,,,104,,,,,,,,,,,,,s,e,c,,,,,,,,,,+,,,,,,Keep,section
116,,found,FALSE,,,,105,,,,,,,,,,,,,f,o,u,,,,,,,,,,+,,,,,,Keep,found
117,,sports,FALSE,,,,106,,,,,,,,,,,,,s,p,o,,,,,,,,,,+,,,,,,Keep,sports
118,,house,FALSE,,,,107,,,,,,,,,,,,,h,o,u,,,,,,,,,,+,,,,,,Keep,house
119,,related,FALSE,,,,108,,,,,,,,,,,,,r,e,l,,,,,,,,,,+,,,,,,Keep,related
120,,security,FALSE,,,,109,,,,,,,,,,,,,s,e,c,,,,,,,,,,+,,,,,,Keep,security
121,,county,FALSE,,,,110,,,,,,,,,,,,,c,o,u,,,,,,,,,,+,,,,,,Keep,county
122,,american,FALSE,,,,111,,,,,,,,,,,,,a,m,e,,,,,,,,,,+,,,,,,Keep,american
123,,photo,FALSE,,,,112,,,,,,,,,,,,,p,h,o,,,,,,,,,,+,,,,,,Keep,photo
124,,members,FALSE,,,,113,,,,,,,,,,,,,m,e,m,,,,,,,,,,+,,,,,,Keep,members
125,,power,FALSE,,,,114,,,,,,,,,,,,,p,o,w,,,,,,,,,,+,,,,,,Keep,power
126,,while,FALSE,,,,115,,,,,,,,,,,,,w,h,i,,,,,,,,,,+,,,,,,Keep,while
127,,network,FALSE,,,,116,,,,,,,,,,,,,n,e,t,,,,,,,,,,+,,,,,,Keep,network
128,,computer,FALSE,,,,117,,,,,,,,,,,,,c,o,m,,,,,,,,,,+,,,,,,Keep,computer
130,,three,FALSE,,,,118,,,,,,,,,,,,,t,h,r,,,,,,,,,,+,,,,,,Keep,three
131,,total,FALSE,,,,119,,,,,,,,,,,,,t,o,t,,,,,,,,,,+,,,,,,Keep,total
132,,place,FALSE,,,,120,,,,,,,,,,,,,p,l,a,,,,,,,,,,+,,,,,,Keep,place
133,,following,FALSE,,,,121,,,,,,,,,,,,,f,o,l,,,,,,,,,,+,,,,,,Keep,following
134,,download,FALSE,,,,122,,,,,,,,,,,,,d,o,w,,,,,,,,,,+,,,,,,Keep,download
135,,without,FALSE,,,,123,,,,,,,,,,,,,w,i,t,,,,,,,,,,+,,,,,,Keep,without
136,,access,FALSE,,,,124,,,,,,,,,,,,,a,c,c,,,,,,,,,,+,,,,,,Keep,access
137,,think,FALSE,,,,125,,,,,,,,,,,,,t,h,i,,,,,,,,,,+,,,,,,Keep,think
138,,north,FALSE,,,,126,,,,,,,,,,,,,n,o,r,,,,,,,,,,+,,,,,,Keep,north
139,,resources,FALSE,,,,127,,,,,,,,,,,,,r,e,s,,,,,,,,,,+,,,,,,Keep,resources
140,,current,FALSE,,,,128,,,,,,,,,,,,,c,u,r,,,,,,,,,,+,,,,,,Keep,current
142,,media,FALSE,,,,129,,,,,,,,,,,,,m,e,d,,,,,,,,,,+,,,,,,Keep,media
143,,control,FALSE,,,,130,,,,,,,,,,,,,c,o,n,,,,,,,,,,+,,,,,,Keep,control
144,,water,FALSE,,,,131,,,,,,,,,,,,,w,a,t,,,,,,,,,,+,,,,,,Keep,water
145,,history,FALSE,,,,132,,,,,,,,,,,,,h,i,s,,,,,,,,,,+,,,,,,Keep,history
146,,pictures,FALSE,,,,133,,,,,,,,,,,,,p,i,c,,,,,,,,,,+,,,,,,Keep,pictures
147,,personal,FALSE,,,,134,,,,,,,,,,,,,p,e,r,,,,,,,,,,+,,,,,,Keep,personal
148,,since,FALSE,,,,135,,,,,,,,,,,,,s,i,n,,,,,,,,,,+,,,,,,Keep,since
149,,including,FALSE,,,,136,,,,,,,,,,,,,i,n,c,,,,,,,,,,+,,,,,,Keep,including
150,,guide,FALSE,,,,137,,,,,,,,,,,,,g,u,i,,,,,,,,,,+,,,,,,Keep,guide
151,,directory,FALSE,,,,138,,,,,,,,,,,,,d,i,r,,,,,,,,,,+,,,,,,Keep,directory
152,,board,FALSE,,,,139,,,,,,,,,,,,,b,o,a,,,,,,,,,,+,,,,,,Keep,board
153,,location,FALSE,,,,140,,,,,,,,,,,,,l,o,c,,,,,,,,,,+,,,,,,Keep,location
154,,change,FALSE,,,,141,,,,,,,,,,,,,c,h,a,,,,,,,,,,+,,,,,,Keep,change
155,,white,FALSE,,,,142,,,,,,,,,,,,,w,h,i,,,,,,,,,,+,,,,,,Keep,white
156,,small,FALSE,,,,143,,,,,,,,,,,,,s,m,a,,,,,,,,,,+,,,,,,Keep,small
157,,rating,FALSE,,,,144,,,,,,,,,,,,,r,a,t,,,,,,,,,,+,,,,,,Keep,rating
